category,unit,special_abilities,steel,aluminum,damage,armor,range,fuel,notes
Ground,M19 MGMC,Good vs big Aircraft / 2x range,875000,225000,3000,50,9,40,Heavy bomber killer
Ground,SDKFZ164 Nashorn,Good vs Vehicles / 2x range,900000,300000,650,93,10,40,The base guard tank
Ground,SDKFZ184 Elefant,Good vs Vehicles / 2x range,13900000,12900000,675,4491,10,90,
Ground,SU-122 (T-34),Good against Trains,950000,390000,2250,500,10,75,
Ground,203mm Howitzer M1931 (B-4),Good vs Bases / 3x range engage,1390000,590000,12500,50,10,55,
Ground,T28 Super Heavy tank,Good vs Vehicles / 2x range,9500000,4500000,1000,7500,10,100,Copter base build; no turret; 2x vs moving vehicles
Ground,SDKFZ205 (PzKpfw VIII) Maus Super Heavy,Good vs Vehicles + Trains / 2x,11000000,3000000,1500,5000,9,125,Copter base build
Ground,Karl-Geraet 041 Howitzer,Good vs Bases / 3x range engage,9000000,8000000,100000,750,12,150,Copter base build; special ammo
Ground,MP4 Karl Ammunition Support Vehicle,,1500000,500000,,75,,50,Supply only; Karl ammo
Ground,MP1 Heavy Ammunition Support Vehicle,,750000,250000,,18,,30,Supply only
Helicopter,Sikorsky-R4 copter,,25000,225000,500,30,8,125,Cheap scout copter
Helicopter,Focke-Wulf FW-61 copter,Good against Vehicles,100000,1250000,2000,150,8,175,
Helicopter,Sikorsky-H5 copter,Good against Bases,200000,1750000,5500,375,4,225,
Helicopter,Flettner FL-265 copter,Good against Air Units,95000,750000,900,75,10,125,
Helicopter,Platt-LePage XR-1 RAM copter,Stealth abilities,390000,2950000,2500,150,10,275,Stealth scout
Aircraft,IL2 Iljuschin Schturmowik,Good against Vehicles,100000,750000,600,250,5,150,
Aircraft,Kawasaki KI-48 Sokei Bomber,Good against Bases,450000,4500000,7500,1000,5,750,
Aircraft,Polikarpov I15,Good against Copters,55000,125000,100,50,12,150,Cheap long-sight scout
Aircraft,Supermarine Spitfire,Good against Aircraft,250000,800000,500,375,12,200,
Aircraft,Lockheed P38 Lightning,,2500000,8500000,3000,3750,10,550,Heavy fighter
Aircraft,ME262 Messerschmitt Jet,,750000,2900000,2500,750,12,400,
Aircraft,B25 Mitchell Bomber,Good against Boats,750000,4500000,5000,3000,6,700,
Aircraft,Junkers JU87 Stuka Nachtrevi,Stealth abilities,900000,1900000,3000,375,8,400,Stealth; heavy fuel
Aircraft,BF110 Messerschmitt,Detector,490000,4900000,900,2500,12,800,Detects stealth
Aircraft,Handley Page Halifax Bomber,Good against Bases,1990000,13900000,70000,3750,6,900,Terrible fuel (900/s)
Aircraft,Horten Ho 229 v7 Bomber,Good against Bases + Stealth,1900000,19000000,90000,2000,6,2500,Stealth siege bomber
Aircraft,Mitsubishi Ki-30,Good against Trains,220000,2200000,20000,500,6,300,
Aircraft,Junkers JU88,Good against Vehicles,500000,3500000,12500,3000,5,300,
Aircraft,Heinkel HE51,,50000,300000,1000,250,10,175,Cheap armored biplane (600 vs ground)
Naval,Conquest boat,APC,35000,1000,,15,,5,Non-attacking; capture naval bases
Naval,MBK186 Project Patrol boat,Good against Vehicles,4500000,2500000,1500,7500,18,45,
Naval,BK1125 Project AA boat,Good against Air Units,1500000,350000,300,3000,10,35,
Naval,Flower class Howitzer boat,Good against Bases,19000000,2500000,12000,15000,18,55,
Naval,Fast Attack boat,,45000,15000,100,10,12,5,Cheap swarm boat
Naval,PT596 Torpedo boat,Good against Boats,750000,150000,1600,750,12,15,
Naval,M-class Submarine,attacks Boats only / Stealth / 2x,3500000,1500000,2000,2500,8,90,Stealth
Naval,Allen M. Sumner class Destroyer boat,2x range engage,35000000,9000000,7500,25000,16,75,Top-tier boat
Naval,Ammunition Transport boat,,1250000,250000,0,75,0,35,Supply only
Train,Train Locomotive,,390000,90000,0,750,0,5,Engine; pulls flatcars
Train,Field Artillery Flatcar,Good against Vehicles,850000,150000,750,500,18,10,
Train,Howitzer Flatcar,Good vs Bases / 3x range engage,4500000,900000,12000,750,18,25,
Train,Anti-Air Flatcar,Good against Air Units / 2x,1950000,25000,1500,3750,12,20,
Train,Panzerjaegerwagen,2x range engage,2200000,500000,6000,750,15,20,
Train,Panzerjaeger Triebwagen 51,Good vs Boats + Trains / 3x,3900000,1900000,2500,3750,12,15,
Special,Polutorka (Gold Export Truck),Gold export,75000,25000,,,,4500,"10/day (CET) => +1 gold; home base only; not queueable; ~750k steel/250k alu/45k fuel per 10 trucks"
